card_id,type,front,back,chain_id,ep,source
H_古1_先秦_01_01,node,[CHAIN_先秦_01] 周人人口劣势与分封制的必要性,"周族灭商时人口基数远小于商人，需借宗室功臣之力管理各地，分封制是技术限制下的最优解

【★★★考点】",CHAIN_先秦_01,01,封邦建国
H_古1_先秦_01_02,node,[CHAIN_先秦_01] 三类分封对象：血亲·遗民·功臣,"周初分封71国，姬姓53国；血亲（周公封鲁）、前朝（武庚守殷）、功臣（姜尚封齐）三层结构

【★★★★考点】",CHAIN_先秦_01,01,封邦建国
H_古1_先秦_01_03,node,[CHAIN_先秦_01] 宗法制：嫡长子继承与大宗小宗,"嫡长子继承制确定政治等级，宗法制度将血缘关系固化为政治秩序

【★★★★★考点】",CHAIN_先秦_01,01,封邦建国
H_古1_先秦_01_04,node,[CHAIN_先秦_01] 礼乐制度：分封制的「软件」,"礼定等级，乐和人心；礼乐配套维系等级秩序，防止僭越

【★★★★考点】",CHAIN_先秦_01,01,封邦建国
H_古1_先秦_01_05,node,[CHAIN_先秦_01] 分封制内生矛盾：诸侯坐大与周室衰微,"前770年犬戎破镐京，周天子权威首次被武力公然挑战，诸侯兼并时代开启

【★★★★★考点】",CHAIN_先秦_01,01,封邦建国
S_古1_先秦_01_01,strategy_cause,"[CHAIN_先秦_01] 分封制的政治逻辑：从血缘信任到地理藩屏
为什么这件事会发生？",【请补充原因分析】,CHAIN_先秦_01,01,封邦建国
L_古1_先秦_01,chain,【链卡】CHAIN_先秦_01 分封制的政治逻辑：从血缘信任到地理藩屏,"类型：制度类

关键节点：
• 周人人口劣势与分封制的必要性
• 三类分封对象：血亲·遗民·功臣
• 宗法制：嫡长子继承与大宗小宗
• 礼乐制度：分封制的「软件」
• 分封制内生矛盾：诸侯坐大与周室衰微

",CHAIN_先秦_01,01,封邦建国
H_古1_先秦_02_01,node,[CHAIN_先秦_02] 分封制：政治合法性来源于血缘,"诸侯世袭自治，合法性来自宗法血缘；天然具有分裂倾向

【★★★★★考点】",CHAIN_先秦_02,01,封邦建国
H_古1_先秦_02_02,node,[CHAIN_先秦_02] 郡县制：政治合法性来源于制度,"郡守县令由中央任命、随时撤换，官僚制度取代血缘统治

【★★★★★考点】",CHAIN_先秦_02,01,封邦建国
H_古1_先秦_02_03,node,[CHAIN_先秦_02] 王绾 vs 李斯之辩：郡县 vs 分封,"秦始皇采纳李斯意见：周封同姓子弟，后代相互攻击如仇人，天子救不了诸侯

【★★★★考点】",CHAIN_先秦_02,01,封邦建国
